texto,intencion
A que hora cierran para poder recoger mi cel?,seguimiento_reparacion
Cuanto demoran en cambiar una pantalla rajada?,consulta_servicio_tecnico
Deje mi cel para diagnostico el jueves pasado,seguimiento_reparacion
Buenos dias deje mi cel ayer para cambio de pantalla ¿ya esta listo?,seguimiento_reparacion
A cuánto sale el iPhone 12 mini?,consulta_precio
Tienen algun precio especial para empresas?,consulta_precio
Deje el iPhone para cambio de bateria hace 3 dias,seguimiento_reparacion
Hay descuento si llevo el cel con case y mica?,consulta_precio
Cuanto esta saliendo el iPhone 13 reacondicionado ahora?,consulta_precio
Qué precio tiene la mica templada para el 16?,consulta_precio
El case MagSafe le hace al 13 Pro,consulta_producto
La mica se burbujeo sola ¿me la cambian?,solicitud_garantia_cambio
Esto ya es demasiado quiero solucion inmediata,escalamiento_urgente
Ya me cansé de esperar necesito respuesta ya,escalamiento_urgente
¿Tienen algún precio especial para empresas?,consulta_precio
Llevo horas escribiendo y nadie responde es urgente,escalamiento_urgente
Quiero cambiar el pedido llegó incompleto,solicitud_garantia_cambio
Mi cel cayo y la pantalla quedo rajada ¿cuanto me sale arreglarlo?,consulta_servicio_tecnico
Esto es inaceptable exijo que me atiendan de inmediato,escalamiento_urgente
Quiero garantía por la batería que se agota rápido,solicitud_garantia_cambio
Me dijeron un precio y en la boleta salio mas caro,queja_producto_servicio
Tienen protector para el iPhone 13 mini?,consulta_producto
Cuanto demora el cambio de bateria?,consulta_servicio_tecnico
Requiero solucion urgente antes de que termine el dia,escalamiento_urgente
Cómo va el diagnóstico de mi iPhone?,seguimiento_reparacion
Listo gracias por la info,saludo_cierre
Mi cel no carga bien podrían revisarlo?,consulta_servicio_tecnico
Alguien puede atenderme ahora es una emergencia,escalamiento_urgente
¿Qué accesorios tienen para el iPhone 12?,consulta_producto
Cuanto esta el iPhone 12 reacondicionado,consulta_precio
Cuánto me sale el iPhone 16 Pro de 128?,consulta_precio
¿Ya revisaron mi iPhone? Lo dejé para diagnóstico,seguimiento_reparacion
Mi cel no carga bien podrian revisarlo?,consulta_servicio_tecnico
Dejé mi cel el miércoles ya está listo?,seguimiento_reparacion
¿La garantía aplica si yo no lo golpeé?,solicitud_garantia_cambio
A cuánto la mica completa para el 14 Pro?,consulta_precio
A cuánto sale el case de silicona para el 13 mini?,consulta_precio
Reparan si el cel no enciende para nada?,consulta_servicio_tecnico
Compre el protector ayer y ya se levanto por las esquinas ¿me lo cambian?,solicitud_garantia_cambio
Ok perfecto voy a pasar por la tienda,saludo_cierre
Ok entendido gracias,saludo_cierre
Cuanto me costaria cambiar pantalla y bateria juntos?,consulta_precio
Tienen disponible el case con correa?,consulta_producto
Pueden revisar de nuevo la reparacion sin costo?,solicitud_garantia_cambio
¿Hay descuento si llevo el cel con case y mica?,consulta_precio
Me cobraron de más por el diagnóstico,queja_producto_servicio
A cuanto sale el iPhone 12 mini?,consulta_precio
Tienen alguna promo por cantidad?,consulta_precio
Necesito que prioricen mi caso es urgente de verdad,escalamiento_urgente
Hay descuento si llevo el cel con case y mica,consulta_precio
¿Tienen el iPhone 15 Pro en 256GB?,consulta_producto
Esto se esta saliendo de control necesito ayuda ya,escalamiento_urgente
Arreglan el Touch ID que dejó de funcionar?,consulta_servicio_tecnico
El case no aguanto ni una semana quiero cambio,solicitud_garantia_cambio
Es urgente mi cel se apagó y tengo algo importante hoy,escalamiento_urgente
El case MagSafe no pega bien al celular,queja_producto_servicio
¿Cuanto tiempo mas falta para que este listo?,seguimiento_reparacion
Hola buenas tengo una duda rapida,saludo_cierre
Manejan power bank compatible con MagSafe?,consulta_producto
El case le hace al iPhone 14 Plus también?,consulta_producto
El tecnico no me explico que le hizo a mi cel,queja_producto_servicio
Nadie me avisó que se había atrasado mi reparación,queja_producto_servicio
Cuanto esta el cambio de pantalla para el iPhone 14,consulta_servicio_tecnico
Deje el cel el martes cuando puedo recogerlo?,seguimiento_reparacion
Quiero que revisen mi cel la reparación no quedó bien,solicitud_garantia_cambio
Requiero solución urgente antes de que termine el día,escalamiento_urgente
Hacen reparación de Face ID?,consulta_servicio_tecnico
Hay algún supervisor disponible?,escalamiento_urgente
Dejé mi iPhone 12 el lunes para revisión aún nada?,seguimiento_reparacion
Alguien me puede dar info del estado de mi reparacion?,seguimiento_reparacion
Quiero que me devuelvan mi dinero por el producto malo,solicitud_garantia_cambio
A cuanto la mica completa para el 14 Pro,consulta_precio
Qué colores manejan del 16 Pro?,consulta_producto
Necesito hablar con una persona no con un bot,escalamiento_urgente
Cuanto me sale cambiar la bateria de mi iPhone 13?,consulta_servicio_tecnico
Quiero hacer válida la garantía de mi reparación,solicitud_garantia_cambio
Mi cel se mojo ¿pueden revisarlo?,consulta_servicio_tecnico
La mica antiespia no bloquea nada de verdad,queja_producto_servicio
Esto es pesimo servicio necesito una solucion ya,escalamiento_urgente
Me pueden avisar cuando este lista la reparacion,seguimiento_reparacion
Perfecto quedo pendiente entonces,saludo_cierre
Deje mi iPhone 13 para diagnostico el lunes ¿ya tienen resultado?,seguimiento_reparacion
Cuánto cuesta el iPhone 14 Pro Max?,consulta_precio
Reparan la vibracion si dejo de funcionar?,consulta_servicio_tecnico
Listo entonces paso mañana,saludo_cierre
Dejé mi iPhone 13 para diagnóstico el lunes ¿ya tienen resultado?,seguimiento_reparacion
Me avisan por WhatsApp cuando esté listo?,seguimiento_reparacion
